id,countrytrial,authoryear,PMB,LB_PMB,UB_PMB,N1I,N1C,N0C,age_days0C,HA_days0C,lhaz0C,sd_lhaz0C,lenhei_cm0C,sd_lenhei0C,SD_HA0C,N0I,age_days0I,HA_days0I,lhaz0I,sd_lhaz0I,lenhei_cm0I,sd_lenhei0I,SD_HA0I,age_days1C,HA_days1C,lhaz1C,sd_lhaz1C,lenhei_cm1C,sd_lenhei1C,SD_HA1C,age_days1I,HA_days1I,lhaz1I,sd_lhaz1I,lenhei_cm1I,sd_lenhei1I,SD_HA1I,lenhei_cm_md,S_pooled,se,df,tcrit,N,Order,restricted_analysis,baseline_HA_diff,icc,avg_cluster,IPD,design_effect,cluster_adjusted_N,cluster_adjusted_N0I,cluster_adjusted_N1I,cluster_adjusted_N0C,cluster_adjusted_N1C
C15,Bangladesh; JiVitA−4,Christian 2015,5.7142859,2.4004638,9.0281076,2868,1265,1438,187,142,-1.33,1.04,64.31999999999999,2.55,38.694866,3160,190,141,-1.352996835443038,1.068625222908629,64.2678417721519,2.548749184620785,43.020824,552,403,-1.91,1.02,76.3,3,81.658554,556,408,-1.815794979079498,1.011643444167044,76.547350069735,2.953829097008223,81.969963,.24735007,52.582985,1.7747742,4131,1.9605384,8731,1,1,-1,,,,,,,,,
D17,Bangladesh; RDNS,Dewey 2017,5.185185,1.9102635,8.4601068,1669,816,793,186,137,-1.2703,1.3334,,,50.286171,1651,186,137,-1.274628467595397,1.342578552777075,,,51.827168,734,550,-1.8,.9399999999999999,,,87.44606,734,557,-1.724703415218694,.9550366228336781,,,83.374275,,52.781883,2.2546277,2483,1.9609199,4929,2,1,0,,,,,,,,,
L18,Bangladesh; WASH-B,Luby 2018,,,,1158,3426,,,,,,,,,,,,,,,,,679,505,-1.808759486281378,1.017435466174485,80.04561295971979,3.571768216655996,104.52151,676,522,-1.601450777202073,1.031712275009246,80.58950777202072,3.562782532966091,104.17163,.54389483,,,4582,1.9604819,4584,3,,,.050903019,6.4347224,1,1.2766438,3591,,907,,2684
B19,Burkina Faso; PROMIS,Becquey 2019,12.222222,7.1937304,17.250713,846,895,964,183,156,-.6755083,.9976680999999999,65.23094,2.319149,39.602486,916,181,155,-.6945742,1.010691,65.13758,2.357938,38.603943,548,433,-1.440246,.9452019,77.51414,2.698305,76.317734,548,443,-1.310165,.9422223,77.86300999999999,2.643481,74.199181,.34887001,48.120167,2.3074367,1739,1.9613291,3621,5,1,-1,.0085281748,54.78125,1,1.458656,2482,628,580,661,614
B19,Burkina Faso; PROMIS-CS,Becquey 2019,,,,528,544,,,,,,,,,,,,,,,,,411,328,-1.215074,1.111541,73.41481,3.886898,95.199211,427,337,-1.160265,.9998893,73.83286,3.518703,87.926979,.41804999,,,1070,1.9621835,1072,6,,,.032266725,33.5,1,2.0486686,523,,258,,266
H15,Burkina Faso; iLiNS-Zinc,Hess 2015,29.629629,24.84767,34.411591,1960,666,785,286,227,-1.19,1.13,68.90000000000001,2.7,57.179287,2435,286,223,-1.224451745379877,1.089272793662819,68.70114989733059,2.62789823416432,50.352776,560,420,-1.74,1.17,77,3.4,92.16777,560,440,-1.44259693877551,1.060384050545445,77.72454081632654,2.999347350033565,79.056938,.72454083,44.041317,1.975343,2624,1.9608685,5846,4,1,-4,,,,,,,,,
A07,Ghana; GHANA,Adu-Afarwuah 2007,,,,97,81,,,,,,,,,,,,,,,,,365,340,-.4,1,,,61.989796,365,356,-.14,1,,,62.811592,,,,176,1.9735343,178,7,,,,,,,,,,,
A16,Ghana; iLiNS-DYAD-G,Adu-Afarwuah 2016,30,10.832729,49.167271,347,692,702,183,153,-.7495441595441594,.9953793778004615,,,33.795002,351,183,158,-.62,1.04,,,38.23468,548,478,-.8879190751445087,.9932358812854828,79.10520231213873,2.909115687535963,87.23893,548,495,-.6899999999999999,1.01,79.7,2.9,80.784416,.59479767,59.398434,3.9071941,1037,1.9622543,2092,8,1,5,,,,,,,,,
I14,Haiti; HAITI,Iannotti 2014,5.8823528,-12.999263,24.763968,159,156,191,219,196,-.4400000000000001,1.29,67.22,3.85,77.562767,202,237,217,-.39,1.2,68.34,3.67,76.139305,402,328,-.74,1.19,73.23,3.61,89.214256,420,352,-.7,1.16,74.29000000000001,3.48,86.851288,1.0599999,43.429443,4.894166,313,1.967572,708,9,1,21,,,,,,,,,
N18,Kenya; WASH-B,Null 2018,,,,1455,5128,,,,,,,,,,,,,,,,,750,589,-1.573689547581903,1.085275933985722,82.08019890795632,3.623954974624638,109.60722,752,605,-1.413883161512027,1.078992365840268,82.65134020618558,3.571579431168865,107.03803,.5711413,,,6581,1.9603245,6583,10,,,.035378806,9.3774929,1,1.2963856,5078,,1122,,3956
G19,Madagascar; MAHAY,Galasso 2019,,,,1460,1455,,,,,,,,,,,,,,,,,913,619,-2.376809621993127,1.718831987618667,,,184.88388,913,629,-2.279645205479452,2.229838019883673,,,243.68588,,,,2913,1.9607787,2915,11,,,,,,,,,,,
M15,Malawi; iLiNS−DOSE,Maleta 2015,2.2222223,-4.9085236,9.3529682,693,240,320,180,128,-1.4,1.07,63.5,2.4,31.943829,966,180,128,-1.400103519668737,1.047418237079075,63.4332298136646,2.39915428168722,31.714838,545,403,-1.87,1.07,76.40000000000001,2.4,63.23238,545,405,-1.832640692640693,1.046354853332827,76.42799422799422,2.397631572205421,67.155342,.027994229,43.661217,3.2701254,931,1.9625154,2219,12,1,0,,,,,,,,,
A15,Malawi; iLiNS−DYAD−M,Ashorn 2015,-6.0975609,-17.269503,5.0743818,214,442,433,183,136,-1.245889145496536,1.180784993403031,,,42.466637,192,183,137,-1.21,1.05,,,35.347977,548,419,-1.635022624434389,1.123643096810897,76.94977375565611,3.257419571013635,85.811409,548,415,-1.69,1.02,76.8,3,82.100067,-.14977376,56.021675,4.6654119,654,1.9635979,1281,13,1,1,,,,,,,,,
HUY19,Mali; PROMIS,Huybregts 2019,14.388489,8.4050159,20.371964,495,495,556,199,162,-.8689388,.9898587,65.59654999999999,2.361371,42.106522,563,198,166,-.765222,.9879424999999999,65.77467,2.308888,42.37075,730,555,-1.727293,.9870723,81.73524,3.15004,96.486259,730,579,-1.473414,1.01434,82.53542,3.137273,96.486259,.80018002,66.676888,4.2382612,988,1.962368,2109,14,1,4,.11830056,20.645834,1,3.3241131,634,169,149,167,149
HUY19,Mali; PROMIS CS,Huybregts 2019,,,,923,947,,,,,,,,,,,,,,,,,492,370,-1.569155,1.138528,75.16204999999999,4.85161,117.75523,497,388,-1.363001,1.153747,75.77074999999999,5.038792,124.00374,.60869998,,,1868,1.9612347,1870,15,,,.050839826,39,1,2.9319134,638,,315,,323
S19,South Africa; TSWAKA,Smuts 2019,-2.6315789,-21.233051,15.969893,313,201,250,189,138,-1.37,1.09,64.09999999999999,2.5,36.301659,500,189,133,-1.505,1.064520741375026,63.75,2.497995188129852,39.929787,372,283,-1.58,1.22,71.5,3.2,72.333916,372,277,-1.71,1.09353593143222,71.20702875399363,2.751668804108491,63.18502,-.29297125,39.80555,3.5979488,512,1.9646081,1264,16,1,-5,,,,,,,,,
P19,Zimbabwe; SHINE (HIV+),Prendergast 2019,16.666666,9.6104527,23.722881,336,329,240,216,164,-1.220073083333333,1.295708184252304,,,51.376308,274,218,166,-1.201167667883212,1.566302926950755,,,59.117661,548,392,-1.98322188449848,1.132776893413401,,,83.288376,548,411,-1.73,1.121132689498744,,,84.169754,,47.25927,3.6654749,663,1.9635485,1179,18,1,2,,,,,,,,,
H19,Zimbabwe; SHINE (HIV−),Humphrey 2019,14.444445,10.593587,18.295301,1879,1792,1231,215,176,-.8808966828594639,2.773974617778818,,,116.35534,1340,213,175,-.8777781020895523,1.286545614803564,,,56.02961,548,421,-1.590401785714286,1.074797063341259,,,86.391876,548,433,-1.438451303885045,1.060141397850682,,,77.406128,,53.53635,1.7677,3669,1.9606107,6242,17,1,-1,,,,,,,,,
